Team,Points,Wins,Draws,Losses,Goals scored,Goals conceded,Goal difference
Man City,93,29,6,3,99,26,73
Liverpool,92,28,8,2,94,26,68
Chelsea,74,21,11,6,76,33,43
Tottenham,71,22,5,11,69,40,29
Arsenal,69,22,3,13,61,48,13
Man United,58,16,10,12,57,57,0
West Ham,56,16,8,14,60,51,9
Leicester,52,14,10,14,62,59,3
Brighton,51,12,15,11,42,44,-2
Wolves,51,15,6,17,38,43,-5
Newcastle,49,13,10,15,44,62,-18
Crystal Palace,48,11,15,12,50,46,4
Brentford,46,13,7,18,48,56,-8
Aston Villa,45,13,6,19,52,54,-2
Southampton,40,9,13,16,43,67,-24
Everton,39,11,6,21,43,66,-23
Leeds,38,9,11,18,42,79,-37
Burnley,35,7,14,17,34,53,-19
Watford,23,6,5,27,34,77,-43
Norwich,22,5,7,26,23,84,-61
